OD	Valine	Isoleucine	Leucine	Ethanol	Alanine	Acetate	Glutamate	Succinate	Glutamine	Methionine	Aspartate	Lysine	Proline	Glycine	Tyrosine	Phenylalanine	Histidine	Gluconate	Malate	Fumarate	Uracil	Thymidine	Glucose	Inosine	Formate	Ribose	PEP	Uridine	UDP_GlcNAc	UDP_sugar	1_methylnicotinamide	NAD	NADP	Nicotinamide
1,22	0,012753225	0,009895867	0,023630545	0,001318739	0,019915861	0,013919393	0,082322189	0,01720343	0,003311325	0,001430685	0,001920916	0,009444748	0,001536514	0,014404486	0,004083564	0,011872686	0,001389535	0,002345694	0,002547858	0,002447319	0,000765166	0,000494002	0,000109045	0,000754945	0,000177567	3,86E-05	0,000430194	0,001383516	0,001480601	0,000879436	0,000270132	7,20E-05	5,26E-05	3,01E-05
1,22	0,012961804	0,009232347	0,021823475	0,001222894	0,020473709	0,015918381	0,092675183	0,014253364	0,002265947	0,001292413	0,00282025	0,008378075	0,001724777	0,014058569	0,003195331	0,009417542	0,001100017	0,002085367	0,002417379	0,001556213	0,000747095	0,000522535	8,40E-05	0,000821266	0,000116688	7,49E-05	0,000447598	0,001979738	0,001584955	0,001213688	0,000317564	6,71E-05	8,36E-05	1,66E-05
9,27	0,0155191	0,012832446	0,030465562	0,000976263	0,021570269	0,011329459	0,065723639	0,011818584	0,002201652	0,00161594	0,003193159	0,011633026	0,001931038	0,016931615	0,00508363	0,013560483	0,001705136	0,000869875	0,001538569	0,000999673	0,00046097	0,000366842	4,32E-05	0,000167093	8,09E-05	0,000110074	0,000152208	0,000320842	0,001529845	0,000330659	0,000122413	1,11394E-06	4,83E-05	1,19E-05
9,27	0,015419085	0,012856365	0,030120953	0,00088175	0,021280141	0,011508863	0,06884126	0,011615947	0,002068967	0,001610808	0,003223812	0,011607913	0,001946611	0,017035421	0,00502115	0,013227348	0,00169912	0,000895341	0,001517874	0,0009019	0,000411295	0,000316879	5,80976E-05	0,000139663	9,92271E-05	0,000113468	0,000128581	0,000296469	0,001481379	0,000286132	0,000124964	0	3,09E-05	3,63E-06
6,45	0,018532397	0,015792727	0,037396891	0,000825403	0,024399004	0,005946473	0,036465153	0,002476455	0,001386396	0,001999923	0,002952978	0,013120751	0,002374322	0,020288964	0,006771799	0,01505435	0,002223314	0,001544305	0,001258716	0,000650344	0,000793567	0,000345155	9,39449E-05	0,000523777	0,000123229	0,000580899	0,00023927	0,000952779	0,000711721	0,0006675	0,00016429	1,80E-05	4,37E-05	7,90E-05
6,45	0,015785902	0,01531178	0,036360569	0,001722362	0,022416091	0,006330984	0,030049558	0,002491474	0,001836358	0,002062075	0,002570592	0,013560382	0,002162511	0,019067798	0,007220341	0,016935916	0,002374532	0,001310424	0,001348601	0,000486351	0,000646632	0,000225948	0,000107583	0,000299724	0,000166912	0,000396636	0,000156984	0,000408087	0,001006542	0,000371293	0,000198211	4,22E-06	5,68E-05	0,000125115
11,2	0,014874718	0,014373342	0,034030648	0,002186306	0,020174852	0,011148452	0,027927213	0,005007071	0,002526224	0,001957668	0,002548935	0,01400753	0,002103024	0,016913391	0,006148259	0,016562366	0,002143989	0,001329887	0,001450424	0,000442774	0,000418673	0,000205144	7,60229E-05	0,000177566	0,000388767	0,000180482	0,000280748	0,000295909	0,001823022	0,000347305	0,00018754	1,89308E-05	5,10E-05	3,57E-05
11,2	0,016155156	0,01484184	0,034541011	0,001972218	0,021865724	0,011251995	0,031519613	0,003796466	0,001775814	0,001933939	0,002931247	0,014234324	0,002250048	0,018004356	0,006025833	0,015623145	0,002174961	0,00131475	0,001388134	0,000429991	0,000501559	0,000247975	9,5007E-05	0,000175719	0,000107915	0,000302174	0,000276803	0,000273641	0,001525211	0,000266013	0,000233154	6,14064E-07	4,70E-05	3,79723E-05
9,76	0,017581161	0,014287403	0,034217095	0,001384157	0,021936509	0,012736878	0,032392763	0,004100118	0,002047487	0,001904073	0,003169686	0,013329087	0,002339949	0,017906815	0,005395595	0,015061118	0,001910557	0,001133248	0,001489452	0,000363687	0,000361556	0,000161775	3,92356E-05	0,000105442	0,000127262	0,000427063	0,00015841	0,000197851	0,001718436	0,0001879	0,00026502	1,43463E-05	1,54E-05	2,51008E-05
9,76	0,013411519	0,012502647	0,030894852	0,002175846	0,020477123	0,012478962	0,027427188	0,003135315	0,001640561	0,001914647	0,002385136	0,013510434	0,001874485	0,016300862	0,005807255	0,016559406	0,002119121	0,00149678	0,00164408	0,000436154	0,000634058	0,000291469	0,000123313	0,000308225	0,000224902	0,000241879	0,000472038	0,000359298	0,002288849	0,000344918	0,000283264	4,03262E-05	0,000157059	7,07169E-05
